ville,type_temp,annee,mois,date,value
Lomé,Températures maximales,2013,1,2013-01-01,34
Lomé,Températures maximales,2013,2,2013-02-01,33
Lomé,Températures maximales,2013,3,2013-03-01,34
Lomé,Températures maximales,2013,4,2013-04-01,34
Lomé,Températures maximales,2013,5,2013-05-01,32
Lomé,Températures maximales,2013,6,2013-06-01,31
Lomé,Températures maximales,2013,7,2013-07-01,30
Lomé,Températures maximales,2013,8,2013-08-01,31
Lomé,Températures maximales,2013,9,2013-09-01,30
Lomé,Températures maximales,2013,10,2013-10-01,32
Lomé,Températures maximales,2013,11,2013-11-01,33
Lomé,Températures maximales,2013,12,2013-12-01,33
Lomé,Températures maximales,2014,1,2014-01-01,33
Lomé,Températures maximales,2014,2,2014-02-01,38
Lomé,Températures maximales,2014,3,2014-03-01,34
Lomé,Températures maximales,2014,4,2014-04-01,34
Lomé,Températures maximales,2014,5,2014-05-01,33
Lomé,Températures maximales,2014,6,2014-06-01,31
Lomé,Températures maximales,2014,7,2014-07-01,30
Lomé,Températures maximales,2014,8,2014-08-01,29
Lomé,Températures maximales,2014,9,2014-09-01,30
Lomé,Températures maximales,2014,10,2014-10-01,32
Lomé,Températures maximales,2014,11,2014-11-01,34
Lomé,Températures maximales,2014,12,2014-12-01,34
Lomé,Températures maximales,2015,1,2015-01-01,33
Lomé,Températures maximales,2015,2,2015-02-01,34
Lomé,Températures maximales,2015,3,2015-03-01,34
Lomé,Températures maximales,2015,4,2015-04-01,34
Lomé,Températures maximales,2015,5,2015-05-01,34
Lomé,Températures maximales,2015,6,2015-06-01,31
Lomé,Températures maximales,2015,7,2015-07-01,30
Lomé,Températures maximales,2015,8,2015-08-01,30
Lomé,Températures maximales,2015,9,2015-09-01,30
Lomé,Températures maximales,2015,10,2015-10-01,32
Lomé,Températures maximales,2015,11,2015-11-01,33
Lomé,Températures maximales,2015,12,2015-12-01,34
Lomé,Températures maximales,2016,1,2016-01-01,34
Lomé,Températures maximales,2016,2,2016-02-01,33
Lomé,Températures maximales,2016,3,2016-03-01,33
Lomé,Températures maximales,2016,4,2016-04-01,33
Lomé,Températures maximales,2016,5,2016-05-01,32
Lomé,Températures maximales,2016,6,2016-06-01,30
Lomé,Températures maximales,2016,7,2016-07-01,30
Lomé,Températures maximales,2016,8,2016-08-01,30
Lomé,Températures maximales,2016,9,2016-09-01,31
Lomé,Températures maximales,2016,10,2016-10-01,32
Lomé,Températures maximales,2016,11,2016-11-01,33
Lomé,Températures maximales,2016,12,2016-12-01,34
Lomé,Températures maximales,2017,1,2017-01-01,33
Lomé,Températures maximales,2017,2,2017-02-01,34
Lomé,Températures maximales,2017,3,2017-03-01,34
Lomé,Températures maximales,2017,4,2017-04-01,34
Lomé,Températures maximales,2017,5,2017-05-01,33
Lomé,Températures maximales,2017,6,2017-06-01,31
Lomé,Températures maximales,2017,7,2017-07-01,29
Lomé,Températures maximales,2017,8,2017-08-01,29
Lomé,Températures maximales,2017,9,2017-09-01,30
Lomé,Températures maximales,2017,10,2017-10-01,32
Lomé,Températures maximales,2017,11,2017-11-01,33
Lomé,Températures maximales,2017,12,2017-12-01,33
Lomé,Températures maximales,2018,1,2018-01-01,33
Lomé,Températures maximales,2018,2,2018-02-01,33
Lomé,Températures maximales,2018,3,2018-03-01,33
Lomé,Températures maximales,2018,4,2018-04-01,33
Lomé,Températures maximales,2018,5,2018-05-01,33
Lomé,Températures maximales,2018,6,2018-06-01,31
Lomé,Températures maximales,2018,7,2018-07-01,30
Lomé,Températures maximales,2018,8,2018-08-01,30
Lomé,Températures maximales,2018,9,2018-09-01,31
Lomé,Températures maximales,2018,10,2018-10-01,32
Lomé,Températures maximales,2018,11,2018-11-01,34
Lomé,Températures maximales,2018,12,2018-12-01,34
Lomé,Températures maximales,2019,1,2019-01-01,34
Lomé,Températures maximales,2019,2,2019-02-01,34
Lomé,Températures maximales,2019,3,2019-03-01,34
Lomé,Températures maximales,2019,4,2019-04-01,34
Lomé,Températures maximales,2019,5,2019-05-01,32
Lomé,Températures maximales,2019,6,2019-06-01,31
Lomé,Températures maximales,2019,7,2019-07-01,30
Lomé,Températures maximales,2019,8,2019-08-01,30
Lomé,Températures maximales,2019,9,2019-09-01,31
Lomé,Températures maximales,2019,10,2019-10-01,31
Lomé,Températures maximales,2019,11,2019-11-01,33
Lomé,Températures maximales,2019,12,2019-12-01,34
Tabligbo,Températures maximales,2013,1,2013-01-01,36
Tabligbo,Températures maximales,2013,2,2013-02-01,37
Tabligbo,Températures maximales,2013,3,2013-03-01,36
Tabligbo,Températures maximales,2013,4,2013-04-01,36
Tabligbo,Températures maximales,2013,5,2013-05-01,34
Tabligbo,Températures maximales,2013,6,2013-06-01,33
Tabligbo,Températures maximales,2013,7,2013-07-01,32
Tabligbo,Températures maximales,2013,8,2013-08-01,30
Tabligbo,Températures maximales,2013,9,2013-09-01,32
Tabligbo,Températures maximales,2013,10,2013-10-01,33
Tabligbo,Températures maximales,2013,11,2013-11-01,34
Tabligbo,Températures maximales,2013,12,2013-12-01,35
Tabligbo,Températures maximales,2014,1,2014-01-01,35
Tabligbo,Températures maximales,2014,2,2014-02-01,36
Tabligbo,Températures maximales,2014,3,2014-03-01,35
Tabligbo,Températures maximales,2014,4,2014-04-01,34
Tabligbo,Températures maximales,2014,5,2014-05-01,34
Tabligbo,Températures maximales,2014,6,2014-06-01,32
Tabligbo,Températures maximales,2014,7,2014-07-01,31
Tabligbo,Températures maximales,2014,8,2014-08-01,30
Tabligbo,Températures maximales,2014,9,2014-09-01,31
Tabligbo,Températures maximales,2014,10,2014-10-01,33
Tabligbo,Températures maximales,2014,11,2014-11-01,34
Tabligbo,Températures maximales,2014,12,2014-12-01,36
Tabligbo,Températures maximales,2015,1,2015-01-01,36
Tabligbo,Températures maximales,2015,2,2015-02-01,36
Tabligbo,Températures maximales,2015,3,2015-03-01,35
Tabligbo,Températures maximales,2015,4,2015-04-01,35
Tabligbo,Températures maximales,2015,5,2015-05-01,35
Tabligbo,Températures maximales,2015,6,2015-06-01,32
Tabligbo,Températures maximales,2015,7,2015-07-01,32
Tabligbo,Températures maximales,2015,8,2015-08-01,32
Tabligbo,Températures maximales,2015,9,2015-09-01,33
Tabligbo,Températures maximales,2015,10,2015-10-01,35
Tabligbo,Températures maximales,2015,11,2015-11-01,35
Tabligbo,Températures maximales,2015,12,2015-12-01,36
Tabligbo,Températures maximales,2016,1,2016-01-01,37
Tabligbo,Températures maximales,2016,2,2016-02-01,38
Tabligbo,Températures maximales,2016,3,2016-03-01,36
Tabligbo,Températures maximales,2016,4,2016-04-01,36
Tabligbo,Températures maximales,2016,5,2016-05-01,35
Tabligbo,Températures maximales,2016,6,2016-06-01,32
Tabligbo,Températures maximales,2016,7,2016-07-01,32
Tabligbo,Températures maximales,2016,8,2016-08-01,31
Tabligbo,Températures maximales,2016,9,2016-09-01,32
Tabligbo,Températures maximales,2016,10,2016-10-01,34
Tabligbo,Températures maximales,2016,11,2016-11-01,35
Tabligbo,Températures maximales,2016,12,2016-12-01,36
Tabligbo,Températures maximales,2017,1,2017-01-01,36
Tabligbo,Températures maximales,2017,2,2017-02-01,37
Tabligbo,Températures maximales,2017,3,2017-03-01,37
Tabligbo,Températures maximales,2017,4,2017-04-01,35
Tabligbo,Températures maximales,2017,5,2017-05-01,34
Tabligbo,Températures maximales,2017,6,2017-06-01,33
Tabligbo,Températures maximales,2017,7,2017-07-01,31
Tabligbo,Températures maximales,2017,8,2017-08-01,30
Tabligbo,Températures maximales,2017,9,2017-09-01,31
Tabligbo,Températures maximales,2017,10,2017-10-01,34
Tabligbo,Températures maximales,2017,11,2017-11-01,34
Tabligbo,Températures maximales,2017,12,2017-12-01,34
Tabligbo,Températures maximales,2018,1,2018-01-01,36
Tabligbo,Températures maximales,2018,2,2018-02-01,36
Tabligbo,Températures maximales,2018,3,2018-03-01,35
Tabligbo,Températures maximales,2018,4,2018-04-01,35
Tabligbo,Températures maximales,2018,5,2018-05-01,34
Tabligbo,Températures maximales,2018,6,2018-06-01,32
Tabligbo,Températures maximales,2018,7,2018-07-01,31
Tabligbo,Températures maximales,2018,8,2018-08-01,31
Tabligbo,Températures maximales,2018,9,2018-09-01,32
Tabligbo,Températures maximales,2018,10,2018-10-01,33
Tabligbo,Températures maximales,2018,11,2018-11-01,34
Tabligbo,Températures maximales,2018,12,2018-12-01,36
Tabligbo,Températures maximales,2019,1,2019-01-01,36
Tabligbo,Températures maximales,2019,2,2019-02-01,36
Tabligbo,Températures maximales,2019,3,2019-03-01,36
Tabligbo,Températures maximales,2019,4,2019-04-01,35
Tabligbo,Températures maximales,2019,5,2019-05-01,35
Tabligbo,Températures maximales,2019,6,2019-06-01,32
Tabligbo,Températures maximales,2019,7,2019-07-01,32
Tabligbo,Températures maximales,2019,8,2019-08-01,31
Tabligbo,Températures maximales,2019,9,2019-09-01,31
Tabligbo,Températures maximales,2019,10,2019-10-01,32
Tabligbo,Températures maximales,2019,11,2019-11-01,34
Tabligbo,Températures maximales,2019,12,2019-12-01,35
Kouma konda,Températures maximales,2013,1,2013-01-01,32
Kouma konda,Températures maximales,2013,2,2013-02-01,33
Kouma konda,Températures maximales,2013,3,2013-03-01,31
Kouma konda,Températures maximales,2013,4,2013-04-01,30
Kouma konda,Températures maximales,2013,5,2013-05-01,29
Kouma konda,Températures maximales,2013,6,2013-06-01,28
Kouma konda,Températures maximales,2013,7,2013-07-01,26
Kouma konda,Températures maximales,2013,8,2013-08-01,26
Kouma konda,Températures maximales,2013,9,2013-09-01,28
Kouma konda,Températures maximales,2013,10,2013-10-01,29
Kouma konda,Températures maximales,2013,11,2013-11-01,30
Kouma konda,Températures maximales,2013,12,2013-12-01,31
Kouma konda,Températures maximales,2014,1,2014-01-01,31
Kouma konda,Températures maximales,2014,2,2014-02-01,32
Kouma konda,Températures maximales,2014,3,2014-03-01,32
Kouma konda,Températures maximales,2014,4,2014-04-01,31
Kouma konda,Températures maximales,2014,5,2014-05-01,29
Kouma konda,Températures maximales,2014,6,2014-06-01,28
Kouma konda,Températures maximales,2014,7,2014-07-01,26
Kouma konda,Températures maximales,2014,8,2014-08-01,25
Kouma konda,Températures maximales,2014,9,2014-09-01,26
Kouma konda,Températures maximales,2014,10,2014-10-01,28
Kouma konda,Températures maximales,2014,11,2014-11-01,29
Kouma konda,Températures maximales,2014,12,2014-12-01,30
Kouma konda,Températures maximales,2015,1,2015-01-01,31
Kouma konda,Températures maximales,2015,2,2015-02-01,31
Kouma konda,Températures maximales,2015,3,2015-03-01,31
Kouma konda,Températures maximales,2015,4,2015-04-01,30
Kouma konda,Températures maximales,2015,5,2015-05-01,30
Kouma konda,Températures maximales,2015,6,2015-06-01,28
Kouma konda,Températures maximales,2015,7,2015-07-01,27
Kouma konda,Températures maximales,2015,8,2015-08-01,27
Kouma konda,Températures maximales,2015,9,2015-09-01,27
Kouma konda,Températures maximales,2015,10,2015-10-01,29
Kouma konda,Températures maximales,2015,11,2015-11-01,30
Kouma konda,Températures maximales,2015,12,2015-12-01,31
Kouma konda,Températures maximales,2016,1,2016-01-01,32
Kouma konda,Températures maximales,2016,2,2016-02-01,34
Kouma konda,Températures maximales,2016,3,2016-03-01,32
Kouma konda,Températures maximales,2016,4,2016-04-01,31
Kouma konda,Températures maximales,2016,5,2016-05-01,29
Kouma konda,Températures maximales,2016,6,2016-06-01,27
Kouma konda,Températures maximales,2016,7,2016-07-01,26
Kouma konda,Températures maximales,2016,8,2016-08-01,26
Kouma konda,Températures maximales,2016,9,2016-09-01,27
Kouma konda,Températures maximales,2016,10,2016-10-01,29
Kouma konda,Températures maximales,2016,11,2016-11-01,30
Kouma konda,Températures maximales,2016,12,2016-12-01,31
Kouma konda,Températures maximales,2017,1,2017-01-01,32
Kouma konda,Températures maximales,2017,2,2017-02-01,32
Kouma konda,Températures maximales,2017,3,2017-03-01,32
Kouma konda,Températures maximales,2017,4,2017-04-01,30
Kouma konda,Températures maximales,2017,5,2017-05-01,30
Kouma konda,Températures maximales,2017,6,2017-06-01,28
Kouma konda,Températures maximales,2017,7,2017-07-01,26
Kouma konda,Températures maximales,2017,8,2017-08-01,26
Kouma konda,Températures maximales,2017,9,2017-09-01,27
Kouma konda,Températures maximales,2017,10,2017-10-01,29
Kouma konda,Températures maximales,2017,11,2017-11-01,29
Kouma konda,Températures maximales,2017,12,2017-12-01,30
Kouma konda,Températures maximales,2018,1,2018-01-01,31
Kouma konda,Températures maximales,2018,2,2018-02-01,33
Kouma konda,Températures maximales,2018,3,2018-03-01,31
Kouma konda,Températures maximales,2018,4,2018-04-01,30
Kouma konda,Températures maximales,2018,5,2018-05-01,29
Kouma konda,Températures maximales,2018,6,2018-06-01,27
Kouma konda,Températures maximales,2018,7,2018-07-01,26
Kouma konda,Températures maximales,2018,8,2018-08-01,25
Kouma konda,Températures maximales,2018,9,2018-09-01,26
Kouma konda,Températures maximales,2018,10,2018-10-01,27
Kouma konda,Températures maximales,2018,11,2018-11-01,29
Kouma konda,Températures maximales,2018,12,2018-12-01,30
Kouma konda,Températures maximales,2019,1,2019-01-01,31
Kouma konda,Températures maximales,2019,2,2019-02-01,31
Kouma konda,Températures maximales,2019,3,2019-03-01,31
Kouma konda,Températures maximales,2019,4,2019-04-01,30
Kouma konda,Températures maximales,2019,5,2019-05-01,29
Kouma konda,Températures maximales,2019,6,2019-06-01,27
Kouma konda,Températures maximales,2019,7,2019-07-01,26
Kouma konda,Températures maximales,2019,8,2019-08-01,26
Kouma konda,Températures maximales,2019,9,2019-09-01,26
Kouma konda,Températures maximales,2019,10,2019-10-01,26
Kouma konda,Températures maximales,2019,11,2019-11-01,29
Kouma konda,Températures maximales,2019,12,2019-12-01,31
Atakpamé,Températures maximales,2013,1,2013-01-01,34
Atakpamé,Températures maximales,2013,2,2013-02-01,36
Atakpamé,Températures maximales,2013,3,2013-03-01,34
Atakpamé,Températures maximales,2013,4,2013-04-01,32
Atakpamé,Températures maximales,2013,5,2013-05-01,31
Atakpamé,Températures maximales,2013,6,2013-06-01,30
Atakpamé,Températures maximales,2013,7,2013-07-01,29
Atakpamé,Températures maximales,2013,8,2013-08-01,30
Atakpamé,Températures maximales,2013,9,2013-09-01,30
Atakpamé,Températures maximales,2013,10,2013-10-01,32
Atakpamé,Températures maximales,2013,11,2013-11-01,34
Atakpamé,Températures maximales,2013,12,2013-12-01,34
Atakpamé,Températures maximales,2014,1,2014-01-01,35
Atakpamé,Températures maximales,2014,2,2014-02-01,35
Atakpamé,Températures maximales,2014,3,2014-03-01,34
Atakpamé,Températures maximales,2014,4,2014-04-01,34
Atakpamé,Températures maximales,2014,5,2014-05-01,32
Atakpamé,Températures maximales,2014,6,2014-06-01,31
Atakpamé,Températures maximales,2014,7,2014-07-01,30
Atakpamé,Températures maximales,2014,8,2014-08-01,28
Atakpamé,Températures maximales,2014,9,2014-09-01,30
Atakpamé,Températures maximales,2014,10,2014-10-01,32
Atakpamé,Températures maximales,2014,11,2014-11-01,33
Atakpamé,Températures maximales,2014,12,2014-12-01,34
Atakpamé,Températures maximales,2015,1,2015-01-01,33
Atakpamé,Températures maximales,2015,2,2015-02-01,36
Atakpamé,Températures maximales,2015,3,2015-03-01,34
Atakpamé,Températures maximales,2015,4,2015-04-01,33
Atakpamé,Températures maximales,2015,5,2015-05-01,33
Atakpamé,Températures maximales,2015,6,2015-06-01,31
Atakpamé,Températures maximales,2015,7,2015-07-01,30
Atakpamé,Températures maximales,2015,8,2015-08-01,29
Atakpamé,Températures maximales,2015,9,2015-09-01,30
Atakpamé,Températures maximales,2015,10,2015-10-01,31
Atakpamé,Températures maximales,2015,11,2015-11-01,33
Atakpamé,Températures maximales,2015,12,2015-12-01,33
Atakpamé,Températures maximales,2016,1,2016-01-01,34
Atakpamé,Températures maximales,2016,2,2016-02-01,36
Atakpamé,Températures maximales,2016,3,2016-03-01,36
Atakpamé,Températures maximales,2016,4,2016-04-01,34
Atakpamé,Températures maximales,2016,5,2016-05-01,33
Atakpamé,Températures maximales,2016,6,2016-06-01,30
Atakpamé,Températures maximales,2016,7,2016-07-01,29
Atakpamé,Températures maximales,2016,8,2016-08-01,29
Atakpamé,Températures maximales,2016,9,2016-09-01,30
Atakpamé,Températures maximales,2016,10,2016-10-01,31
Atakpamé,Températures maximales,2016,11,2016-11-01,34
Atakpamé,Températures maximales,2016,12,2016-12-01,34
Atakpamé,Températures maximales,2017,1,2017-01-01,34
Atakpamé,Températures maximales,2017,2,2017-02-01,36
Atakpamé,Températures maximales,2017,3,2017-03-01,36
Atakpamé,Températures maximales,2017,4,2017-04-01,34
Atakpamé,Températures maximales,2017,5,2017-05-01,33
Atakpamé,Températures maximales,2017,6,2017-06-01,31
Atakpamé,Températures maximales,2017,7,2017-07-01,29
Atakpamé,Températures maximales,2017,8,2017-08-01,28
Atakpamé,Températures maximales,2017,9,2017-09-01,29
Atakpamé,Températures maximales,2017,10,2017-10-01,32
Atakpamé,Températures maximales,2017,11,2017-11-01,34
Atakpamé,Températures maximales,2017,12,2017-12-01,34
Atakpamé,Températures maximales,2018,1,2018-01-01,33
Atakpamé,Températures maximales,2018,2,2018-02-01,35
Atakpamé,Températures maximales,2018,3,2018-03-01,34
Atakpamé,Températures maximales,2018,4,2018-04-01,33
Atakpamé,Températures maximales,2018,5,2018-05-01,32
Atakpamé,Températures maximales,2018,6,2018-06-01,30
Atakpamé,Températures maximales,2018,7,2018-07-01,29
Atakpamé,Températures maximales,2018,8,2018-08-01,29
Atakpamé,Températures maximales,2018,9,2018-09-01,30
Atakpamé,Températures maximales,2018,10,2018-10-01,31
Atakpamé,Températures maximales,2018,11,2018-11-01,33
Atakpamé,Températures maximales,2018,12,2018-12-01,33
Atakpamé,Températures maximales,2019,1,2019-01-01,35
Atakpamé,Températures maximales,2019,2,2019-02-01,36
Atakpamé,Températures maximales,2019,3,2019-03-01,35
Atakpamé,Températures maximales,2019,4,2019-04-01,34
Atakpamé,Températures maximales,2019,5,2019-05-01,32
Atakpamé,Températures maximales,2019,6,2019-06-01,31
Atakpamé,Températures maximales,2019,7,2019-07-01,30
Atakpamé,Températures maximales,2019,8,2019-08-01,29
Atakpamé,Températures maximales,2019,9,2019-09-01,30
Atakpamé,Températures maximales,2019,10,2019-10-01,30
Atakpamé,Températures maximales,2019,11,2019-11-01,33
Atakpamé,Températures maximales,2019,12,2019-12-01,34
Sotouboua,Températures maximales,2013,1,2013-01-01,35
Sotouboua,Températures maximales,2013,2,2013-02-01,36
Sotouboua,Températures maximales,2013,3,2013-03-01,36
Sotouboua,Températures maximales,2013,4,2013-04-01,34
Sotouboua,Températures maximales,2013,5,2013-05-01,34
Sotouboua,Températures maximales,2013,6,2013-06-01,32
Sotouboua,Températures maximales,2013,7,2013-07-01,30
Sotouboua,Températures maximales,2013,8,2013-08-01,29
Sotouboua,Températures maximales,2013,9,2013-09-01,29
Sotouboua,Températures maximales,2013,10,2013-10-01,32
Sotouboua,Températures maximales,2013,11,2013-11-01,34
Sotouboua,Températures maximales,2013,12,2013-12-01,35
Sotouboua,Températures maximales,2014,1,2014-01-01,35
Sotouboua,Températures maximales,2014,2,2014-02-01,36
Sotouboua,Températures maximales,2014,3,2014-03-01,36
Sotouboua,Températures maximales,2014,4,2014-04-01,35
Sotouboua,Températures maximales,2014,5,2014-05-01,33
Sotouboua,Températures maximales,2014,6,2014-06-01,33
Sotouboua,Températures maximales,2014,7,2014-07-01,31
Sotouboua,Températures maximales,2014,8,2014-08-01,29
Sotouboua,Températures maximales,2014,9,2014-09-01,30
Sotouboua,Températures maximales,2014,10,2014-10-01,32
Sotouboua,Températures maximales,2014,11,2014-11-01,34
Sotouboua,Températures maximales,2014,12,2014-12-01,35
Sotouboua,Températures maximales,2015,1,2015-01-01,34
Sotouboua,Températures maximales,2015,2,2015-02-01,36
Sotouboua,Températures maximales,2015,3,2015-03-01,37
Sotouboua,Températures maximales,2015,4,2015-04-01,35
Sotouboua,Températures maximales,2015,5,2015-05-01,34
Sotouboua,Températures maximales,2015,6,2015-06-01,30
Sotouboua,Températures maximales,2015,7,2015-07-01,31
Sotouboua,Températures maximales,2015,8,2015-08-01,30
Sotouboua,Températures maximales,2015,9,2015-09-01,31
Sotouboua,Températures maximales,2015,10,2015-10-01,32
Sotouboua,Températures maximales,2015,11,2015-11-01,35
Sotouboua,Températures maximales,2015,12,2015-12-01,33
Sotouboua,Températures maximales,2016,1,2016-01-01,36
Sotouboua,Températures maximales,2016,2,2016-02-01,36
Sotouboua,Températures maximales,2016,3,2016-03-01,36
Sotouboua,Températures maximales,2016,4,2016-04-01,38
Sotouboua,Températures maximales,2016,5,2016-05-01,37
Sotouboua,Températures maximales,2016,6,2016-06-01,33
Sotouboua,Températures maximales,2016,7,2016-07-01,31
Sotouboua,Températures maximales,2016,8,2016-08-01,30
Sotouboua,Températures maximales,2016,9,2016-09-01,31
Sotouboua,Températures maximales,2016,10,2016-10-01,33
Sotouboua,Températures maximales,2016,11,2016-11-01,36
Sotouboua,Températures maximales,2016,12,2016-12-01,35
Sotouboua,Températures maximales,2017,1,2017-01-01,35
Sotouboua,Températures maximales,2017,2,2017-02-01,33
Sotouboua,Températures maximales,2017,3,2017-03-01,37
Sotouboua,Températures maximales,2017,4,2017-04-01,35
Sotouboua,Températures maximales,2017,5,2017-05-01,33
Sotouboua,Températures maximales,2017,6,2017-06-01,31
Sotouboua,Températures maximales,2017,7,2017-07-01,30
Sotouboua,Températures maximales,2017,8,2017-08-01,29
Sotouboua,Températures maximales,2017,9,2017-09-01,30
Sotouboua,Températures maximales,2017,10,2017-10-01,33
Sotouboua,Températures maximales,2017,11,2017-11-01,35
Sotouboua,Températures maximales,2017,12,2017-12-01,34
Sotouboua,Températures maximales,2018,1,2018-01-01,34
Sotouboua,Températures maximales,2018,2,2018-02-01,34
Sotouboua,Températures maximales,2018,3,2018-03-01,35
Sotouboua,Températures maximales,2018,4,2018-04-01,35
Sotouboua,Températures maximales,2018,5,2018-05-01,32
Sotouboua,Températures maximales,2018,6,2018-06-01,31
Sotouboua,Températures maximales,2018,7,2018-07-01,29
Sotouboua,Températures maximales,2018,8,2018-08-01,29
Sotouboua,Températures maximales,2018,9,2018-09-01,31
Sotouboua,Températures maximales,2018,10,2018-10-01,32
Sotouboua,Températures maximales,2018,11,2018-11-01,35
Sotouboua,Températures maximales,2018,12,2018-12-01,34
Sotouboua,Températures maximales,2019,1,2019-01-01,35
Sotouboua,Températures maximales,2019,2,2019-02-01,34
Sotouboua,Températures maximales,2019,3,2019-03-01,37
Sotouboua,Températures maximales,2019,4,2019-04-01,35
Sotouboua,Températures maximales,2019,5,2019-05-01,34
Sotouboua,Températures maximales,2019,6,2019-06-01,31
Sotouboua,Températures maximales,2019,7,2019-07-01,30
Sotouboua,Températures maximales,2019,8,2019-08-01,30
Sotouboua,Températures maximales,2019,9,2019-09-01,30
Sotouboua,Températures maximales,2019,10,2019-10-01,31
Sotouboua,Températures maximales,2019,11,2019-11-01,34
Sotouboua,Températures maximales,2019,12,2019-12-01,34
Sokodé,Températures maximales,2013,1,2013-01-01,35
Sokodé,Températures maximales,2013,2,2013-02-01,38
Sokodé,Températures maximales,2013,3,2013-03-01,36
Sokodé,Températures maximales,2013,4,2013-04-01,34
Sokodé,Températures maximales,2013,5,2013-05-01,33
Sokodé,Températures maximales,2013,6,2013-06-01,32
Sokodé,Températures maximales,2013,7,2013-07-01,30
Sokodé,Températures maximales,2013,8,2013-08-01,29
Sokodé,Températures maximales,2013,9,2013-09-01,30
Sokodé,Températures maximales,2013,10,2013-10-01,33
Sokodé,Températures maximales,2013,11,2013-11-01,35
Sokodé,Températures maximales,2013,12,2013-12-01,35
Sokodé,Températures maximales,2014,1,2014-01-01,35
Sokodé,Températures maximales,2014,2,2014-02-01,36
Sokodé,Températures maximales,2014,3,2014-03-01,36
Sokodé,Températures maximales,2014,4,2014-04-01,35
Sokodé,Températures maximales,2014,5,2014-05-01,33
Sokodé,Températures maximales,2014,6,2014-06-01,33
Sokodé,Températures maximales,2014,7,2014-07-01,31
Sokodé,Températures maximales,2014,8,2014-08-01,29
Sokodé,Températures maximales,2014,9,2014-09-01,31
Sokodé,Températures maximales,2014,10,2014-10-01,33
Sokodé,Températures maximales,2014,11,2014-11-01,34
Sokodé,Températures maximales,2014,12,2014-12-01,35
Sokodé,Températures maximales,2015,1,2015-01-01,35
Sokodé,Températures maximales,2015,2,2015-02-01,37
Sokodé,Températures maximales,2015,3,2015-03-01,36
Sokodé,Températures maximales,2015,4,2015-04-01,37
Sokodé,Températures maximales,2015,5,2015-05-01,35
Sokodé,Températures maximales,2015,6,2015-06-01,31
Sokodé,Températures maximales,2015,7,2015-07-01,31
Sokodé,Températures maximales,2015,8,2015-08-01,29
Sokodé,Températures maximales,2015,9,2015-09-01,30
Sokodé,Températures maximales,2015,10,2015-10-01,32
Sokodé,Températures maximales,2015,11,2015-11-01,35
Sokodé,Températures maximales,2015,12,2015-12-01,33
Sokodé,Températures maximales,2016,1,2016-01-01,35
Sokodé,Températures maximales,2016,2,2016-02-01,37
Sokodé,Températures maximales,2016,3,2016-03-01,36
Sokodé,Températures maximales,2016,4,2016-04-01,34
Sokodé,Températures maximales,2016,5,2016-05-01,33
Sokodé,Températures maximales,2016,6,2016-06-01,31
Sokodé,Températures maximales,2016,7,2016-07-01,30
Sokodé,Températures maximales,2016,8,2016-08-01,29
Sokodé,Températures maximales,2016,9,2016-09-01,30
Sokodé,Températures maximales,2016,10,2016-10-01,33
Sokodé,Températures maximales,2016,11,2016-11-01,36
Sokodé,Températures maximales,2016,12,2016-12-01,35
Sokodé,Températures maximales,2017,1,2017-01-01,36
Sokodé,Températures maximales,2017,2,2017-02-01,34
Sokodé,Températures maximales,2017,3,2017-03-01,38
Sokodé,Températures maximales,2017,4,2017-04-01,35
Sokodé,Températures maximales,2017,5,2017-05-01,33
Sokodé,Températures maximales,2017,6,2017-06-01,31
Sokodé,Températures maximales,2017,7,2017-07-01,29
Sokodé,Températures maximales,2017,8,2017-08-01,29
Sokodé,Températures maximales,2017,9,2017-09-01,30
Sokodé,Températures maximales,2017,10,2017-10-01,34
Sokodé,Températures maximales,2017,11,2017-11-01,35
Sokodé,Températures maximales,2017,12,2017-12-01,35
Sokodé,Températures maximales,2018,1,2018-01-01,34
Sokodé,Températures maximales,2018,2,2018-02-01,37
Sokodé,Températures maximales,2018,3,2018-03-01,35
Sokodé,Températures maximales,2018,4,2018-04-01,35
Sokodé,Températures maximales,2018,5,2018-05-01,33
Sokodé,Températures maximales,2018,6,2018-06-01,31
Sokodé,Températures maximales,2018,7,2018-07-01,30
Sokodé,Températures maximales,2018,8,2018-08-01,29
Sokodé,Températures maximales,2018,9,2018-09-01,30
Sokodé,Températures maximales,2018,10,2018-10-01,32
Sokodé,Températures maximales,2018,11,2018-11-01,35
Sokodé,Températures maximales,2018,12,2018-12-01,35
Sokodé,Températures maximales,2019,1,2019-01-01,36
Sokodé,Températures maximales,2019,2,2019-02-01,37
Sokodé,Températures maximales,2019,3,2019-03-01,37
Sokodé,Températures maximales,2019,4,2019-04-01,35
Sokodé,Températures maximales,2019,5,2019-05-01,34
Sokodé,Températures maximales,2019,6,2019-06-01,31
Sokodé,Températures maximales,2019,7,2019-07-01,30
Sokodé,Températures maximales,2019,8,2019-08-01,29
Sokodé,Températures maximales,2019,9,2019-09-01,30
Sokodé,Températures maximales,2019,10,2019-10-01,31
Sokodé,Températures maximales,2019,11,2019-11-01,34
Sokodé,Températures maximales,2019,12,2019-12-01,35
Kara,Températures maximales,2013,1,2013-01-01,36
Kara,Températures maximales,2013,2,2013-02-01,38
Kara,Températures maximales,2013,3,2013-03-01,37
Kara,Températures maximales,2013,4,2013-04-01,36
